designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604931918709955712,604931918709955712,133.242042746759,11.92239597316114,0.08907626865161028,-3.23167534738397,-0.6620986150395767,0.97001016,18.864069,1.1278629,0.53956604,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4781.33,4.7753,-1.0997,2331.265,0.0106,0.0084,0.0045
Gaia DR3 604932021789175296,604932021789175296,133.24311842455228,11.942159150428912,-0.9490213558171262,-0.8947219833959155,0.8657141459513377,0.9985824,19.926535,0.2661476,0.036073685,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932056148909440,604932056148909440,133.29102527981283,11.92318263063011,0.035321599802285386,1.2285838823011936,-7.325276644311476,1.0523273,19.566803,0.69137,0.26560402,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932124868386304,604932124868386304,133.27317191206907,11.923323041075482,0.4480475113408467,-1.1903888651686614,-5.896396732459424,1.0516583,19.899817,1.8659267,0.96471214,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932124868388224,604932124868388224,133.26843418666994,11.931098021661885,1.4857647321435277,-10.849354992751255,-2.9795831788053766,1.0097713,18.171476,1.9661198,0.9472637,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3699.05,4.821,-0.8564,507.6262,0.3969,0.2759,0.1565
Gaia DR3 604932129164718976,604932129164718976,133.27358165888202,11.9247756388961,,,,,21.297096,1.6885166,-0.7637501,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932129165225984,604932129165225984,133.28060284373464,11.926263362965821,,,,,21.70808,1.9843063,-0.4543476,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932129166172800,604932129166172800,133.27536873924922,11.922096194500408,,,,,20.95181,1.6820145,-1.1829681,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932159230810496,604932159230810496,133.29573723988722,11.937940953501933,1.2284164243450828,-8.370712424951225,-10.345345282591879,1.0597451,20.685202,1.5063992,0.31297493,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932197884195968,604932197884195968,133.30628327592933,11.93796979174459,,,,,21.445276,1.7862415,-1.0400238,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932232243746944,604932232243746944,133.3279236166342,11.950261897643426,0.4987259787769697,-3.6647992536232428,2.8637992029186665,1.0046908,15.6161785,0.72206306,0.27920437,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,6032.8706,4.4079,-0.6927,1610.7483,0.0564,0.0482,0.0262
Gaia DR3 604932232243747328,604932232243747328,133.32541764717874,11.946882545271595,0.7818930002992347,-4.592248941774685,3.422251989987378,1.0016012,16.69655,1.1879902,0.5138321,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4798.6016,4.5331,-0.1434,1256.121,0.012,0.0094,0.0049
Gaia DR3 604932296667084416,604932296667084416,133.30304921649804,11.954589382313145,-0.6989337271302757,-0.30905223446408236,-4.388495772735662,1.035352,20.241476,1.6732407,0.8057327,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932296667085952,604932296667085952,133.31613302913325,11.959191741276562,0.1505870224957442,0.4349140030265885,1.2979500911570283,1.014445,18.564434,1.1929417,0.07692146,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604932300962244864,604932300962244864,133.31597914150532,11.958849406924914,0.2578442334391999,0.4734370710736185,0.8480250207509289,1.01528,18.9421,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
